action_id,document_path,confidence,review_state,matched_terms
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/TELEFONO/FACTURA_MMPVADJ0025146_25-04-2026.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/ZOOM/INV357460022-2.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/ZOOM/INV349200211_A23333533_04092026.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/ZOOM/INV353435789-2.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/SERVIDOR/Factura_2026-06-25_202786711054_V99933615.pdf,0.78,automatico,contabilidad
ACC-SOPORTE-TECNICO-Y--F45DA80C53,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/SERVIDOR/Factura_2026-04-25_202786241049_V99933615.pdf,0.835,automatico,servidor|soporte
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/SERVIDOR/Factura_2026-05-25_202786492020_V99933615.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/2TR2026/DATA/02_Zeena_Data_enGira.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/MANTENIMIENTO TÉCNICO/Factura_202507_01.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SEGURIDAD SOCIAL/CUOTA JULIO.png,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SEGURIDAD SOCIAL/CUOTA AGOSTO.png,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SEGURIDAD SOCIAL/cos maria moral0925.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/SEGURIDAD SOCIAL/CUOTA SEPT.png,0.78,automatico,contabilidad
