id,nombre_archivo,documento_ruta,estado_revision,requiere_ocr,campos_sin_extraer,campos_a_revisar
GAS-8CD0B02F4A8A,Factura_2025-10-25_202784490445_V99933615.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SERVIDOR/Factura_2025-10-25_202784490445_V99933615.pdf,pendiente_revision,no,concepto,emisor|fecha_emision|receptor
GAS-82C7FD54CE18,Factura_2025-12-25_202785076764_V99933615.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SERVIDOR/Factura_2025-12-25_202785076764_V99933615.pdf,pendiente_revision,no,concepto,emisor|fecha_emision|receptor
GAS-C7DD5C2A0F46,Factura_2025-11-25_202784784857_V99933615.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SERVIDOR/Factura_2025-11-25_202784784857_V99933615.pdf,pendiente_revision,no,concepto,emisor|fecha_emision|receptor
GAS-A4F19269C4E6,peajes mercartes.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/TRANSPORTE/peajes mercartes.pdf,pendiente_revision,no,emisor|numero_factura|fecha_emision|base_imponible|total|concepto,
GAS-94D784B7F7FE,Factura_FMPVALI001XXXX.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/Factura_FMPVALI001XXXX.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,base_imponible|total
GAS-19BF9569B6A6,Factura_MMPVAJI002XXXX.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/Factura_MMPVAJI002XXXX.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,
GAS-62070319FCCF,Factura_MMPVALI001XXXX.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/Factura_MMPVALI001XXXX.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,
GAS-AF50FD00207F,invoice.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/invoice.pdf,pendiente_revision,no,concepto,emisor|iva|total
GAS-0F2EB141BA0D,Invoice-SIB-4109801.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/Invoice-SIB-4109801.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,base_imponible|iva|numero_factura|receptor|total
GAS-9DAD96830029,Factura_FMPVAJI006XXXX.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/Factura_FMPVAJI006XXXX.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,base_imponible|numero_factura|total
GAS-75B47FCC58C2,Factura_MMPVAKI001XXXX.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/Factura_MMPVAKI001XXXX.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,
GAS-3D0FA87E0442,Factura_FMPVAKI003XXXX.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/Factura_FMPVAKI003XXXX.pdf,pendiente_revision,no,emisor|fecha_emision|concepto,base_imponible|total
GAS-48B5609D2948,INV328281907.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/SUMINISTROS/INV328281907.pdf,pendiente_revision,no,emisor,base_imponible|concepto|fecha_emision|iva|numero_factura|total
GAS-3644BFECD473,Invoice_2025_0054_Big_Bang_TA25.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/COMERCIALIZACIÓN/Invoice_2025_0054_Big_Bang_TA25.pdf,pendiente_revision,no,fecha_emision|base_imponible|concepto,emisor
GAS-71A64959C8EE,Invoice_2025_0055_Big_Bang_TA25.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/COMERCIALIZACIÓN/Invoice_2025_0055_Big_Bang_TA25.pdf,pendiente_revision,no,fecha_emision|base_imponible|concepto,emisor
GAS-482261484D5F,BDC-6790184301-invoice-2847.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/DIETAS/BDC-6790184301-invoice-2847.pdf,pendiente_revision,no,fecha_emision|base_imponible|concepto,emisor|total
GAS-2792DDF45099,factura 10a.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/DIETAS/factura 10a.pdf,requiere_ocr,sí,emisor|numero_factura|fecha_emision|base_imponible|total|concepto,
GAS-5B086187EBB1,BPBLO_invoice_TB2504602_20251122_235002.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/DIETAS/BPBLO_invoice_TB2504602_20251122_235002.pdf,pendiente_revision,no,base_imponible,concepto|emisor|fecha_emision
GAS-D22FBB97DE59,dietas 2.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/DIETAS/dietas 2.pdf,pendiente_revision,no,emisor|numero_factura|fecha_emision|base_imponible|total|concepto,
GAS-DF3C4756C2E9,FACTURA 25032622R.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/LEGAL/FACTURA 25032622R.pdf,pendiente_revision,no,,emisor|fecha_emision|numero_factura|receptor
GAS-CA8FA528D1D2,FACTURA 25005841RSPD.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/LEGAL/FACTURA 25005841RSPD.pdf,pendiente_revision,no,concepto,emisor|fecha_emision|numero_factura|receptor
GAS-E55CB704C5FB,factura mercartes.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/COMERCIALIZACIÓN/MERCARTES/factura mercartes.pdf,pendiente_revision,no,emisor|numero_factura|concepto,fecha_emision
GAS-908C945436C7,FACTURA María José Moral Morgado octubre 2025.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/COMERCIALIZACIÓN/MERCARTES/FACTURA María José Moral Morgado octubre 2025.pdf,requiere_ocr,sí,emisor|numero_factura|fecha_emision|base_imponible|total|concepto,
GAS-333CB812BD68,A-V2025-5238950.pdf,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/4TR2025/COMERCIALIZACIÓN/MERCARTES/A-V2025-5238950.pdf,pendiente_revision,no,emisor|base_imponible,concepto
